OrderID,Date,Region,Category,Product,Sales,Quantity,Profit
1001,2024-01-01,North,Furniture,Chair,200,2,20
1002,2024-01-02,South,Technology,Laptop,1200,1,200
1003,2024-01-03,East,Office Supplies,Pen,20,10,5
1004,2024-01-04,West,Furniture,Table,500,1,50
1005,2024-01-05,North,Technology,Phone,800,2,150
1006,2024-01-06,South,Office Supplies,Notebook,50,5,10
1007,2024-01-07,East,Furniture,Sofa,1500,1,300
1008,2024-01-08,West,Technology,Tablet,600,1,120
1009,2024-01-09,North,Office Supplies,Marker,30,6,8
1010,2024-01-10,South,Furniture,Bed,2000,1,400
1011,2024-01-11,East,Technology,Monitor,300,2,60
1012,2024-01-12,West,Office Supplies,Stapler,40,3,10
1013,2024-01-13,North,Furniture,Desk,700,1,100
1014,2024-01-14,South,Technology,Keyboard,80,2,20
1015,2024-01-15,East,Office Supplies,Paper,60,10,15
1016,2024-01-16,West,Furniture,Chair,250,2,30
1017,2024-01-17,North,Technology,Mouse,40,3,10
1018,2024-01-18,South,Office Supplies,Pen,25,8,6
1019,2024-01-19,East,Furniture,Sofa,1600,1,320
1020,2024-01-20,West,Technology,Laptop,1300,1,220
